Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_6_f_0.2_eps_0_s_300",9687537819,60.005,0.0322554
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_100",9690612957,60.008,0.0319267
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_200",9690625334,60.008,0.0319262
"n_1000_c_10000000000_g_6_f_0.2_eps_1e-05_s_300",9690636536,60.005,0.0319255
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_100",9718517409,60.684,0.0289641
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_200",9718536680,60.004,0.0289627
"n_1000_c_10000000000_g_6_f_0.3_eps_0.0001_s_300",9718554969,60.005,0.0289615
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_100",9997517035,60.469,0.000248989
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_200",9997534981,60.004,0.000247918
"n_1000_c_10000000000_g_6_f_0.3_eps_0.001_s_300",9997554178,60.008,0.000246599
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_100",9975015145,61.663,0.00250538
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_200",9962533361,60.007,0.00376218
"n_1000_c_10000000000_g_6_f_0.3_eps_0.01_s_300",9975049752,60.007,0.00250335
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_100",10000009269,1.807,2.20762e-08
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_200",10000020751,1.509,5.21399e-08
"n_1000_c_10000000000_g_6_f_0.3_eps_0.1_s_300",10000031265,3.366,1.13971e-07
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_100",10000013146,0.0320001,3.00007e-10
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_200",10000025752,41.6,1.117e-07
"n_1000_c_10000000000_g_6_f_0.3_eps_0_s_300",9687550289,60.005,0.0322546
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_100",9690618027,60.009,0.0319266
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_200",9690635847,61.407,0.0319253
"n_1000_c_10000000000_g_6_f_0.3_eps_1e-05_s_300",9690652286,60.006,0.0319244
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_100",100006603,0.179,2.0679e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_200",100011057,0.373,6.13431e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.0001_s_300",100020125,0.11,2.67246e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_100",100003092,3.109,5.19616e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_200",100009084,2.196,6.16435e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.001_s_300",100020221,3.141,2.15902e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_100",100000763,2.859,4.78124e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_200",100004741,0.125,6.23933e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.01_s_300",100009963,0.016,5.43315e-05
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_100",99966694,60.005,0.000356461
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_200",99973164,60.058,0.000319093
"n_1000_c_100000000_g_10_f_0.1_eps_0.1_s_300",99979447,60.101,0.000277147
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_100",99825185,60.818,0.00183434
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_200",99842147,60.006,0.00173406
"n_1000_c_100000000_g_10_f_0.1_eps_0_s_300",99861760,60.004,0.00161713
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_100",99997651,2.064,9.72594e-05
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_200",100004966,3.749,9.72743e-05
"n_1000_c_100000000_g_10_f_0.1_eps_1e-05_s_300",100014833,0.164,9.81906e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_100",100000665,0.095,8.34126e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_200",100016721,0.053,1.90758e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.0001_s_300",100021486,0.095,4.99874e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_100",100007318,0.0150001,1.45266e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_200",100016258,0.112,1.86544e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.001_s_300",100024071,3.33,3.94329e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_100",100004173,0.394,2.50289e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_200",100011317,0.02,2.96341e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.01_s_300",100011618,1.758,9.90688e-05
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_100",99972914,60.011,0.000315854
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_200",99983410,60.009,0.000241084
"n_1000_c_100000000_g_10_f_0.2_eps_0.1_s_300",99994229,60.007,0.000184714
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_100",99828012,60.042,0.00181621
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_200",99850843,60.006,0.00164659
"n_1000_c_100000000_g_10_f_0.2_eps_0_s_300",99872382,60.046,0.00152909
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_100",100000570,4.419,8.20549e-05
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_200",100012496,6.546,7.25919e-05
"n_1000_c_100000000_g_10_f_0.2_eps_1e-05_s_300",100017877,0.106,8.90355e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_100",100009345,0.254,1.83567e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_200",100012213,0.109,7.96288e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.0001_s_300",100027975,0.0569999,5.2968e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_100",100008319,0.0279999,1.76493e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_200",100013766,0.0149999,7.40861e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.001_s_300",100028244,0.295,4.94656e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_100",100003857,0.203,4.94805e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_200",100010459,1.911,6.45215e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.01_s_300",100018098,2.467,7.39118e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_100",99978270,60.008,0.000275399
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_200",99994665,60.009,0.000184274
"n_1000_c_100000000_g_10_f_0.3_eps_0.1_s_300",100005520,2.16,9.6157e-05
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_100",99832155,60.003,0.00174483
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_200",99859623,60.009,0.00160727
"n_1000_c_100000000_g_10_f_0.3_eps_0_s_300",99887621,60.004,0.00136429
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_100",100001269,15.169,9.1984e-05
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_200",100015380,8.099,4.94074e-05
"n_1000_c_100000000_g_10_f_0.3_eps_1e-05_s_300",100020425,5.602,9.11382e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_100",100009169,0.0139999,2.46622e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_200",100018174,0.013,4.66105e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.0001_s_300",100024891,0.0140002,8.10581e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_100",100007374,0.0179999,3.84307e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_200",100017257,0.0109999,4.93786e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.001_s_300",100030393,0.0150001,3.38579e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_100",100004011,0.0149999,2.51933e-05
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_200",100013617,0.0139999,3.07115e-06
"n_1000_c_100000000_g_14_f_0.1_eps_0.01_s_300",100019693,0.0410001,2.68497e-06
